id,name,team,position,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,outlook
47,Tevin Coleman,49ers,RB,131.0,541.0,5.0,18.0,178.0,1.0,"Coleman opened the 2019 season as the 49ers' lead back but was all but replaced atop the depth chart by Raheem Mostert down the stretch and during the playoffs. Coleman returns to San Francisco in 2020 but simply can't be counted on as a reliable starter. On one hand, it's a good situation, as 49ers' backs led the NFL in rushing yards (2,051) and touchdowns (19) last season. On the other hand, Jimmy Garoppolo didn't target the position much (20th in the category), and job security is almost nonexistent in Kyle Shanahan's offense. Coleman will compete with Mostert and Jerick McKinnon for snaps. Consider him a bench option with handcuff appeal."
48,Sony Michel,Patriots,RB,184.0,722.0,5.0,11.0,92.0,0.0,"Michel remains New England's lead rusher as he enters his third professional season, but this offense certainly has a different feel to it with Tom Brady out of the picture. Thus far, Michel has essentially been limited to a situational, between-the-tackles hammer role. In 29 regular-season games, he has played 37% of the snaps and handled 54% of the carries (15.7 per game) and 3% of the targets (1.1 per game). That usage allowed Michel only two top-20 fantasy weeks in 2019. Perhaps New England will lean more on its 2018 first-round pick with Brady gone, but with his nonexistent role as a receiver and with James White, Rex Burkhead and Damien Harris in the fold, Michel should be viewed as only a flex option in non-PPR leagues."
49,Matt Breida,Dolphins,RB,109.0,499.0,1.0,35.0,277.0,1.0,"Breida was traded to the Dolphins and is expected to share backfield duties with Jordan Howard this season. The former 49ers' rotational back has at least 105 carries in each of his three NFL seasons and has ranked no lower than 13th in yards per carry in each of those campaigns. His 5.0 YPC in that span ranks third among 42 backs with 300-plus carries. Breida hasn't done much after contact (1.5 YAC) or as a receiver (91 career targets) but has shown to be an explosive playmaker, which makes the 190-pound back a terrific complement to the 230-pound Howard. Consider Breida a bench option with a shot at flex production."
50,Zack Moss,Bills,RB,143.0,613.0,4.0,19.0,148.0,1.0,"The Bills selected Moss with a third-round pick in April's draft. Moss is an elite prospect in two key areas: YAC (second-best in this year's rookie class in 2019) and forced missed tackles (second). The Utah product has terrific size (5-foot-9, 223 pounds) and the balance, toughness, quickness and receiving ability to emerge as one of the game's top backs, though speed is a major concern following his 4.65 40-yard dash at the combine. Moss joins Devin Singletary in the Bills' backfield. The two figure to limit each other's fantasy output, though the rookie has 20 pounds on his new teammate, which could vault him into a significant role on early downs and at the goal line. Moss could flirt with the flex radar and is a fine mid-round target."
51,Jamaal Williams,Packers,RB,85.0,351.0,2.0,33.0,253.0,2.0,"Williams returns as a backup rusher and passing-down contributor in Green Bay, though he'll face more competition for work this season, with second-round pick AJ Dillon in the fold. In 13 full games last season, Williams was well behind Aaron Jones in carries (179 to 107) but was basically even in targets (46 to 45). Jones was a top-five fantasy RB in those 13 weeks, though it might surprise you to know that Williams was 24th. There are plenty of fantasy points to be had in the Packers' backfield, but Williams, who has yet to post a top-30 fantasy campaign, might not even be the team's lead back if Jones gets injured. He's barely worthy of a draft pick in most formats."
52,Antonio Gibson,FA,RB,52.0,235.0,1.0,36.0,352.0,1.0,"Washington selected Gibson with the 66th pick of April's draft. Gibson enters the league as more of an 'offensive weapon' than a wide receiver or running back, but early comparisons to Christian McCaffrey by head coach Ron Rivera suggest he'll focus primarily on the latter. The Memphis product is big (6-foot, 228 pounds) and a terrific athlete with excellent power, speed (4.39 40-yard dash) and elusiveness. He's a terror with the ball in his hands, having averaged 8.4 yards per carry and 13.1 yards per target (11.9 RAC) in 2019. Experience is a concern here (33 carries and 66 targets in two FBS seasons), but the shaky wide receiver depth chart behind Terry McLaurin suggests Gibson will, at least, get plenty of work as a pass catcher. He's unlikely to provide consistent flex numbers early on but is a fine upside flier."
53,Jaylen Samuels,Steelers,RB,41.0,167.0,1.0,41.0,301.0,2.0,"Samuels returns as a passing-down specialist in Pittsburgh. The 2018 fifth-rounder entered the league as an H-Back but has made some slight noise in fantasy in relief of the oft-injured James Conner. Samuels doesn't see enough work to allow stand-alone value, and even if Conner were to miss time, Pittsburgh doesn't seem interested in Samuels as anything more than a situational rusher (he has 56 and 66 carries, respectively, in his two seasons). Samuels will have his hands full beating Conner, Benny Snell Jr. and rookie Anthony McFarland Jr. for snaps this season. He's no more than a late-round flier in deep PPR leagues."
54,Tony Pollard,Cowboys,RB,83.0,364.0,2.0,26.0,205.0,1.0,"Pollard remains Ezekiel Elliott's primary backup as he enters his second NFL season. The 2019 fourth-round pick generated some hype last offseason during Elliott's holdout but ended up touching the ball only 101 times during his rookie campaign. Pollard showed well ' he averaged 5.3 YPC, and his 2.7 YAC was tops in the league ' but didn't see the field much, with Elliott appearing in all 16 games. Pollard is unlikely to produce stand-alone value, but he has the size and skill set to take on a substantial chunk of Elliott's workload, should Elliott miss time. Stash Pollard on your bench."
55,Alexander Mattison,Vikings,RB,118.0,495.0,3.0,16.0,132.0,1.0,"Mattison enters his second NFL season in the same position he was in as a rookie: Dalvin Cook's handcuff. The 2019 third-round pick impressed in his first season, producing 544 yards on 110 touches. Mattison averaged 4.6 YPC despite facing an average of 7.3 in-box defenders, highest in the NFL. Mattison is entering his age-22 season without much stand-alone value, but there's no doubt that he would vault to RB1 territory in the event of a Dalvin Cook injury in Minnesota's run-heavy scheme. Draft him, and stash him."
56,Darrynton Evans,Titans,RB,92.0,377.0,2.0,22.0,171.0,1.0,"Dion Lewis is out and Evans ' a 2020 third-round pick ' is in as Derrick Henry's backup in Tennessee. Evans is on the small side at 5-foot-10, 203 pounds but showed well at the combine with a 4.41 40-yard dash and an above-average performance in every drill in which he took part. In terms of production, Evans followed a very efficient 2018 campaign with a boost in volume but a dip in efficiency in 2019. His forced missed tackle/YAC profile was poor this past season, but his combination of speed, ball protection (two career fumbles) and receiving ability suggests he'll be a fine complementary back. Evans will be an intriguing handcuff stash in 2020 but won't have standalone value."
57,Jerick McKinnon,49ers,RB,85.0,318.0,2.0,24.0,189.0,1.0,"McKinnon signed a pricy contract with San Francisco prior to the 2018 season but has yet to play a snap for the team due to injury. Following a contract restructure, McKinnon will attempt another comeback in 2020. Even prior to the injury struggles, the 5-foot-9, 212-pound McKinnon had never exceeded 159 carries in a season and averaged 3.59 YPC (worst among backs), including 1.50 after contact (second worst) on 309 carries during the 2016 and 2017 seasons. McKinnon's receiving volume has been terrific, but his efficiency has been weak (5.2 YPT). The 49ers' run-heavy offense is attractive, but McKinnon's lengthy absence and the presences of Raheem Mostert and Tevin Coleman make fantasy relevance a long shot."
58,Giovani Bernard,Bengals,RB,63.0,261.0,1.0,28.0,220.0,1.0,"Bernard is a change-of-pace and passing-down complement to Joe Mixon in Cincinnati. The 28-year-old has been a solid presence throughout his seven-year NFL career, but his fantasy contributions have declined significantly the past four seasons. A top-20 back in both targets and fantasy points in his first three seasons, Bernard ranked 32nd in targets in 2020 and has one top-40 fantasy season in the past four campaigns. Bernard would need a Mixon injury to approach fantasy relevance, and even then, he's likely to operate in a timeshare."
59,Jalen Richard,Raiders,RB,52.0,236.0,1.0,29.0,243.0,1.0,"Richard is the passing-down complement to Josh Jacobs in Las Vegas. Richard broke out with 68 receptions for 607 yards in 2018, but his usage was nearly cut in half (36-323) with Jacobs in the mix last season. Despite a 5.0 career YPC, Richard hasn't cleared 56 carries in a season since 2016, and the Raiders appear committed to Jacobs' taking on an even larger role as a receiver in 2020. Especially with third-round pick Lynn Bowden likely to steal the occasional touch, Richard is worth a look in only the deepest of PPR leagues."
60,Ito Smith,Falcons,RB,61.0,248.0,2.0,24.0,182.0,1.0,"Following two seasons behind Devonta Freeman, Smith is expected to operate as Todd Gurley's primary backup in Atlanta this season. Smith struggled with effectiveness (3.5 YPC, 4.8 YPT) on 117 touches as a fourth-round rookie in 2018 and was limited by injury to 33 touches in seven games last season. The 195-pound scat back would need a Gurley injury to find his way into a backfield committee. He's an uninspiring handcuff with no stand-alone value."
61,Chase Edmonds,Cardinals,RB,69.0,298.0,2.0,17.0,129.0,1.0,"Edmonds is expected to enter the 2020 season as Kenyan Drake's primary backup. The third-year back has operated as a reserve in 28 of 29 career games, but the one exception was an explosive Week 7 effort against the Giants last season in which he put up 150 yards and three scores on 29 touches. Edmonds went on to touch the ball nine times the rest of the season while dealing with injuries and the emergence of Drake. Edmonds' handcuff status is all but secured with David Johnson no longer in the mix (seventh-round pick Eno Benjamin is his chief competition), so though the 24-year-old has no stand-alone value, he's a valuable handcuff and thus worth a stash in deeper leagues."
62,Rashaad Penny,Seahawks,RB,66.0,292.0,2.0,14.0,112.0,1.0,"A 2018 first-round pick, Penny's contributions have thus far been limited by the combination of his injuries and the standout play of Chris Carson. The good news is that the San Diego State product has been very effective when called upon. Penny's 5.26 YPC ranks third, and his 2.05 YAC ranks 11th among 52 RBs with 150 carries since he entered the league. Penny forced his way into an expanded role and appeared on the verge of a breakout with rushing lines of 14-129-1 and 15-74-1 during Weeks 12 and 13 last season, but a Week 14 injury ended his season prematurely. The injury could lead to a stint on the PUP list to open 2020, but Penny is only 24 and remains an intriguing post-hype target. If a Week 1 return appears likely, he'll be well worth a late-round flier in Seattle's high-scoring offense."
63,Adrian Peterson,FA,RB,80.0,327.0,2.0,13.0,101.0,0.0,"Peterson is back in Washington, though he'll have a ton of competition for touches this time around, courtesy of Derrius Guice, Antonio Gibson, Bryce Love, J.D. McKissic and Peyton Barber. With Guice out most of 2019, Peterson ranked 17th among running backs with 898 rushing yards but didn't score much (five TDs) and was a nonfactor as a receiver (23 targets). Peterson is still an effective rusher at age 35, but the reigning No. 33 scoring fantasy back is a strong bet for a significant decrease in touches in 2020. He shouldn't be on your draft radar."
64,Anthony McFarland Jr.,Steelers,RB,89.0,368.0,2.0,9.0,68.0,0.0,"Pittsburgh drafted McFarland in the fourth round of April's draft. McFarland is a bit undersized (5-foot-8, 208 pounds) and coming off a disappointing 2019 season at Maryland, when he was hampered by an ankle injury. McFarland impressed in 2018 with 1,034 yards in 131 carries (7.9 YPC) but saw his production dip to 614 yards in 114 carries (5.4 YPC) in 2019. An ugly 26% of his 2019 rushes resulted in a loss of yards, which was worst in the class. McFarland's 4.44 speed is intriguing, but he has a short r'sum', especially as a receiver (33 career targets). He'll compete with Jaylen Samuels and Benny Snell for snaps behind James Conner and is only a handcuff target in deeper leagues."
65,Joshua Kelley,Chargers,RB,78.0,318.0,2.0,11.0,86.0,0.0,"The Chargers selected Kelley in the fourth round of April's draft. Kelley is 5-foot-11, 212 pounds and immediately steps in as competition for Justin Jackson (5-foot-11, 200 pounds) as an early-down complement to the 5-foot-9, 195-pound Austin Ekeler. Kelley's efficiency was weak on 229 carries and 17 targets at UCLA last season, but it was much better in 2018, and he showed very well athletically at the combine. That included a 4.49 40-yard dash and a position-best 6.95 three cone. Kelley is a physical, downhill rusher who could sneak into rookie season fantasy value if he beats Jackson. Take a late flier."
66,Rex Burkhead,Patriots,RB,37.0,157.0,1.0,20.0,183.0,1.0,"Burkhead returns to a crowded backfield in New England that includes Sony Michel, James White, Damien Harris and Brandon Bolden. Burkhead is entering his age-30 season having never cleared 74 carries or 38 targets in a season. His best fantasy finish was 39th in 2017. Burkhead would need multiple injuries to emerge as a reliable weekly fantasy starter, and even then, he might not be overly appealing with Tom Brady no longer under center. Burkhead is worth a look only in the deepest of leagues."
67,Chris Thompson,Jaguars,RB,37.0,162.0,1.0,21.0,179.0,1.0,No outlook available.
68,Dion Lewis,Giants,RB,60.0,245.0,1.0,17.0,118.0,1.0,"Lewis signed with the Giants during the offseason and is expected to work as Saquon Barkley's primary backup. The 29-year-old's best fantasy season was a 13th-place finish with the Patriots in 2017, though his efficiency hasn't been nearly as good the past two seasons in Tennessee. Lewis will get the occasional change-of-pace carry and spell Barkley in occasional passing situations, but the journeyman will need an injury to push for 15-plus touches. Lewis is a fine handcuff stash."
69,Damien Harris,Patriots,RB,79.0,328.0,2.0,8.0,65.0,0.0,"Harris enters his second NFL season as part of a crowded New England backfield that includes Sony Michel, James White, Rex Burkhead and Brandon Bolden. A third-round pick last offseason, Harris was limited to five snaps during his rookie campaign. He lacks top-end speed (4.57 40-yard dash) but has decent size (5-foot-10, 216 pounds) and is a powerful, downhill runner with exceptional ball security (zero fumbles in 2018). He's also a good pass-catcher and blocker, which supplies him with three-down upside in the pros. Harris is buried in New England, but one injury could vault him into a big role. He's an end-of-bench stash at best."
70,AJ Dillon,Packers,RB,70.0,292.0,2.0,8.0,65.0,0.0,"The Packers selected Dillon with a second-round pick in April's draft. Dillon is one of the biggest backs in this class, at 6-foot, 247 pounds. The Boston College product is a powerful, downhill rusher who isn't particularly dynamic and doesn't figure to offer much as a receiver (21 receptions in 35 games at BC). Dillon showed very well athletically at the combine, posting impressive marks in the 40-yard dash (4.53), vertical (41) and broad jump (131). He might eventually be a difference-maker but will open 2020 buried behind Aaron Jones and Jamaal Williams. Both veteran backs are entering contract years, so Dillon could emerge as the Packers' lead back as soon as 2021. He should be valued as an end-of-bench handcuff in 2020 leagues."
71,Frank Gore,Jets,RB,71.0,268.0,1.0,12.0,94.0,0.0,No outlook available.
72,Dare Ogunbowale,Buccaneers,RB,28.0,115.0,1.0,18.0,144.0,1.0,No outlook available.
73,Carlos Hyde,Seahawks,RB,72.0,300.0,2.0,8.0,49.0,0.0,"Hyde is a free agent following stops with the 49ers, Jaguars, Chiefs and Texans during his first six NFL campaigns. Hyde's pro career appeared to be on the brink after he was the odd man out in Kansas City last fall, but the veteran back got back on track with Houston, ranking 11th in the league with 245 carries. Hyde averaged a healthy 4.4 YPC and scored six touchdowns, but a minimal role as a receiver (16 targets) limited him to a 30th-place finish in fantasy points. He's now 28 years old."
74,Reggie Bonnafon,Panthers,RB,46.0,190.0,1.0,14.0,109.0,0.0,No outlook available.
75,Lynn Bowden Jr.,Raiders,RB,28.0,126.0,1.0,16.0,145.0,1.0,"The Raiders selected Bowden with a third-round pick in April's draft. Bowden is about as versatile a weapon as you'll come across, with 74 pass attempts, 206 rushes and 114 receptions on his resume during three seasons at Kentucky. Bowden is on the small side (5-foot-11, 204 pounds), lacks speed and has struggled with drops (10 the past two seasons) and fumbles (nine in 2019). His versatility and big-play ability are intriguing but might not translate to consistent fantasy production. He does not have a path to an every-down role in Las Vegas in the short term, with Josh Jacobs and Jalen Richard locking down running back and Henry Ruggs, Hunter Renfrow and Tyrell Williams set to soak up most wide receiver snaps. Bowden won't be worth a fantasy pick in 2020, but he will be a fun stash in dynasty."
76,Gus Edwards,Ravens,RB,74.0,341.0,2.0,4.0,30.0,0.0,"Edwards was the second man up for carries behind Mark Ingram last season, but he could fall to third this season with second-round pick J.K. Dobbins in the mix. The backup gig was generous to Edwards in 2019, as it allowed him 133 carries in the league's highest-scoring offense. Edwards is a nonfactor in the passing game (he has 270 carries and 10 targets in two seasons), but his rushing efficiency has been nothing short of elite. In fact, Edwards' career 5.3 YPC is best among 40 backs with 200-plus carries since he entered the league as an undrafted free agent in 2018. Edwards can no longer be considered Ingram's clear handcuff, and even if Ingram misses time, Edwards would work in a timeshare with Dobbins and perhaps Justice Hill. Edwards is worth a pick only in deep non-PPR leagues."
77,La'Mical Perine,Jets,RB,45.0,183.0,1.0,12.0,91.0,0.0,"The Jets selected Perine with a fourth-round pick during April's draft. The former Florida Gator checks in with good size at 5-foot-11, 216 pounds and profiles as a solid committee back with the ability to contribute as a pass-catcher and blocker. Perine never cleared 136 carries in a season at Florida but caught 40 passes last season. His 10 1/4-inch hands were biggest among backs at the combine, and his wingspan ranked among the largest. Perine has some limitations in terms of elusiveness and speed (4.62 40-yard dash), and while he could settle in as a third-down/receiving back in the pros, he'll compete with Frank Gore to be Le'Veon Bell's top backup for 2020. That certainly puts him on the handcuff radar in deeper leagues."
78,Patrick Laird,Dolphins,RB,21.0,84.0,0.0,18.0,141.0,1.0,No outlook available.
79,Benny Snell Jr.,Steelers,RB,73.0,297.0,2.0,2.0,18.0,0.0,No outlook available.
80,Ryquell Armstead,Jaguars,RB,50.0,206.0,1.0,8.0,69.0,0.0,"Armstead enters his second professional season as the primary backup to Leonard Fournette. The 2019 fifth-round pick produced 108 yards on 35 carries (3.1 YPC, 1.9 YAC) and 144 yards and a pair of touchdowns on 24 targets (6.0 YPT) off the bench as a rookie. Fournette was the topic of trade rumors during the offseason, so if he gets moved, Armstead will be a more appealing fantasy asset. In the meantime, however, he's no more than a handcuff option in deeper leagues."
81,Malcolm Brown,Rams,RB,39.0,157.0,2.0,7.0,55.0,0.0,"With Todd Gurley out of the picture in Los Angeles, Brown will compete with second-year Darrell Henderson and rookie Cam Akers for touches in the Rams' backfield. Brown is entering his sixth NFL season having yet to eclipse 69 carries or 11 targets in a campaign. Brown could factor in on early downs and near the goal line (he's 224 pounds and scored five touchdowns last season) but is a long shot for anything more than situational duties and is unlikely to factor in as a receiver. Consider him for your bench in deep leagues."
82,Ryan Nall,Bears,RB,39.0,161.0,1.0,9.0,69.0,0.0,No outlook available.
83,Qadree Ollison,Falcons,RB,46.0,188.0,2.0,5.0,38.0,0.0,No outlook available.
84,Bryce Love,FA,RB,35.0,146.0,1.0,9.0,69.0,0.0,"Love is expected to make his NFL debut this season after missing his entire rookie season because of a torn ACL suffered while at Stanford. Love had the look of an emerging superstar after he broke out for 2,118 rushing yards (8.1 YPC) and 19 touchdowns in 2017. The wheels fell off from there, as his 2018 season began with a drop in production and ended with the knee injury. Love is undersized (5-foot-9, 200 pounds), but he sports good speed, elusiveness and tackle-breaking ability. He has big upside if able to return to 2017 form, but it might take some time for him to see the field with Derrius Guice, Antonio Gibson, Adrian Peterson, J.D. McKissic and Peyton Barber in the mix in Washington. Take a late flier on Love in very deep and dynasty leagues."
85,Kyle Juszczyk,49ers,RB,5.0,19.0,0.0,15.0,150.0,1.0,No outlook available.
86,C.J. Ham,Vikings,RB,9.0,36.0,0.0,15.0,133.0,1.0,No outlook available.
87,DeAndre Washington,Chiefs,RB,14.0,55.0,0.0,9.0,68.0,0.0,"Washington signed with the Chiefs during the offseason. The former Raiders' reserve will compete with Darwin Thompson and Darrel Williams for touches behind top backs Clyde Edwards-Helaire and Damien Williams. Washington would need multiple injuries to find his way to a substantial role, though it would come in one of the league's best situations for a back. Washington, who racked up 1,735 yards on 370 touches in four seasons in Oakland, should be on watch lists but doesn't need to be drafted."
88,Ty Montgomery,Saints,RB,25.0,111.0,1.0,4.0,35.0,0.0,No outlook available.
89,Royce Freeman,Broncos,RB,33.0,130.0,1.0,4.0,28.0,0.0,"Freeman looked like a budding star after he dominated the preseason of his rookie campaign, but the 2018 third-round pick quickly fell behind undrafted Phillip Lindsay. Freeman's stock took another hit this past offseason, when Denver signed Melvin Gordon. Freeman's rushing efficiency hasn't been good (3.8 YPC, 1.7 YAC last season), but he supplied a reliable set of hands with the position's third-best catch rate (86%) on 50 targets last season. Freeman needs two injuries to find his way to fantasy relevance in 2020 and shouldn't be drafted."
90,Devontae Booker,Raiders,RB,31.0,124.0,1.0,4.0,33.0,0.0,No outlook available.
91,Brian Hill,Falcons,RB,18.0,75.0,0.0,7.0,57.0,0.0,No outlook available.
92,Mike Boone,Vikings,RB,31.0,131.0,1.0,2.0,16.0,0.0,No outlook available.
93,Trayveon Williams,Bengals,RB,20.0,80.0,1.0,6.0,47.0,0.0,No outlook available.
94,Dalyn Dawkins,Titans,RB,13.0,55.0,0.0,7.0,57.0,0.0,No outlook available.
95,Dontrell Hilliard,Browns,RB,20.0,85.0,1.0,4.0,32.0,0.0,No outlook available.
96,Justice Hill,Ravens,RB,10.0,41.0,0.0,7.0,59.0,0.0,"Hill enters his second NFL season still a bit buried on a Ravens' depth chart that includes Mark Ingram, J.K. Dobbins and Gus Edwards. Hill was active for all 16 of Baltimore's regular-season games as a rookie, but the fourth-round pick was limited to 66 touches on 181 snaps. Interestingly, Hill was targeted four times in Week 16 before he paced the backfield in snaps (46), pass routes (38) and targets (five) in the playoff loss to Tennessee. Hill's expanded role in passing situations down the stretch is intriguing, but the Ravens' backfield is far too crowded to make the 22-year-old worthy of a draft pick."
97,Buddy Howell,Texans,RB,23.0,94.0,1.0,4.0,31.0,0.0,No outlook available.
98,Eno Benjamin,Cardinals,RB,19.0,78.0,1.0,4.0,33.0,0.0,No outlook available.
99,Jeff Wilson Jr.,49ers,RB,23.0,95.0,1.0,2.0,16.0,0.0,No outlook available.
100,Corey Clement,Eagles,RB,21.0,87.0,1.0,2.0,18.0,0.0,No outlook available.
101,Bo Scarbrough,Lions,RB,16.0,66.0,0.0,4.0,35.0,0.0,No outlook available.
102,Jordan Wilkins,Colts,RB,13.0,59.0,0.0,4.0,33.0,0.0,"Wilkins is buried behind Marlon Mack, Jonathan Taylor and Nyheim Hines on the depth chart in Indianapolis. Granted, it's a small sample, but Wilkins has been effective. His career 5.8 YPC trails only that of Raheem Mostert among all backs with at least 100 carries the past two seasons. The 2018 fifth-round pick is underrated but would need two injuries to find his way to fantasy value."
103,Ameer Abdullah,Vikings,RB,9.0,36.0,0.0,6.0,48.0,0.0,No outlook available.
104,Andrew Beck,Broncos,RB,0.0,0.0,0.0,8.0,64.0,0.0,No outlook available.
105,Alec Ingold,Raiders,RB,12.0,49.0,0.0,4.0,33.0,0.0,No outlook available.
106,Darwin Thompson,Chiefs,RB,10.0,42.0,0.0,4.0,34.0,0.0,"Thompson enters his second NFL season in a competition for touches with the likes of Darrel Williams and DeAndre Washington behind Damien Williams and Clyde Edwards-Helaire in Kansas City. Thompson didn't make much noise as a rookie, registering 171 yards on 46 touches. The 5-foot-8, 200-pound scat back remains an intriguing deep sleeper, considering Kansas City's RB-friendly offense, as well as Thompson's elite efficiency at Utah State. However, the 2019 sixth-round pick would surely need an injury or two to find his way onto the fantasy radar following the team's first-round investment in Edwards-Helaire."
107,Khari Blasingame,Titans,RB,0.0,0.0,0.0,7.0,60.0,0.0,No outlook available.
108,Jason Huntley,Lions,RB,10.0,42.0,0.0,4.0,34.0,0.0,No outlook available.
109,Patrick Ricard,Ravens,"DT, RB",10.0,39.0,0.0,4.0,32.0,0.0,No outlook available.
110,Peyton Barber,FA,RB,17.0,67.0,1.0,2.0,17.0,0.0,"Barber signed with Washington following four seasons in Tampa Bay. The 26-year-old will have his hands full finding a consistent role with Derrius Guice, Antonio Gibson, Bryce Love, Adrian Peterson and J.D. McKissic also in the fold. Although durability and age are major questions for the backs above him, it's unlikely that all will miss enough time for Barber to land on the fantasy radar. An early-down plodder with poor efficiency stats (3.6 YPC, 1.7 YAC, 4.7 YPT), the 26-year-old shouldn't be drafted."
111,Jordan Chunn,Cowboys,RB,18.0,72.0,0.0,2.0,17.0,0.0,No outlook available.
112,Mike Davis,Panthers,RB,10.0,41.0,0.0,4.0,30.0,0.0,No outlook available.
113,Justice Hill,Ravens,RB,4.0,16.0,0.0,5.0,35.0,0.0,"Hill enters his second NFL season still a bit buried on a Ravens' depth chart that includes Mark Ingram, J.K. Dobbins and Gus Edwards. Hill was active for all 16 of Baltimore's regular-season games as a rookie, but the fourth-round pick was limited to 66 touches on 181 snaps. Interestingly, Hill was targeted four times in Week 16 before he paced the backfield in snaps (46), pass routes (38) and targets (five) in the playoff loss to Tennessee. Hill's expanded role in passing situations down the stretch is intriguing, but the Ravens' backfield is far too crowded to make the 22-year-old worthy of a draft pick."
114,T.J. Logan,Buccaneers,RB,7.0,29.0,0.0,4.0,33.0,0.0,No outlook available.
115,Brandon Bolden,Patriots,RB,7.0,30.0,0.0,4.0,33.0,0.0,No outlook available.
116,Elijhaa Penny,Giants,RB,7.0,30.0,0.0,4.0,35.0,0.0,No outlook available.
117,J.D. McKissic,FA,RB,7.0,31.0,0.0,4.0,31.0,0.0,No outlook available.
118,Josh Adams,Jets,RB,16.0,67.0,0.0,2.0,14.0,0.0,No outlook available.
119,T.J. Yeldon,Bills,RB,3.0,14.0,0.0,4.0,37.0,0.0,No outlook available.
120,Anthony Sherman,Chiefs,RB,4.0,17.0,0.0,4.0,35.0,0.0,No outlook available.
121,Andy Janovich,Browns,RB,8.0,31.0,0.0,3.0,22.0,0.0,No outlook available.
122,DeeJay Dallas,Seahawks,RB,0.0,0.0,0.0,4.0,39.0,0.0,"The Seahawks selected Dallas in the fourth round of April's draft. The Miami product stands 5-foot-10, 217 pounds with an excellent combination of power, burst and elusiveness. He posted terrific rushing efficiency last season, ranking fifth in the 2020 rookie class in YAC (3.7) and seventh in PFF's forced missed tackle rate (3.8). Dallas is inexperienced as a receiver (33 career targets), though he averaged an outstanding 9.6 yards per target on those plays. He'll open his career behind Chris Carson, but could be as high as second on the depth chart if Rashaad Penny isn't ready to go. Monitor Dallas' progress this summer."
123,Derek Watt,Steelers,RB,0.0,0.0,0.0,4.0,36.0,0.0,No outlook available.
124,Ricky Ortiz,Saints,RB,2.0,8.0,0.0,4.0,31.0,0.0,No outlook available.
125,Patrick DiMarco,Bills,RB,8.0,32.0,0.0,2.0,16.0,0.0,No outlook available.
126,Rodney Anderson,Bengals,RB,7.0,29.0,0.0,2.0,17.0,0.0,No outlook available.
127,Jordan Scarlett,Panthers,RB,0.0,0.0,0.0,4.0,34.0,0.0,No outlook available.
128,Cethan Carter,Bengals,RB,6.0,25.0,0.0,2.0,16.0,0.0,No outlook available.
129,Taiwan Jones,Bills,RB,4.0,16.0,0.0,2.0,18.0,0.0,No outlook available.
130,John Kelly,Rams,RB,4.0,15.0,0.0,2.0,20.0,0.0,No outlook available.
131,Keith Smith,Falcons,RB,11.0,46.0,0.0,0.0,0.0,0.0,No outlook available.
132,Karan Higdon,Texans,RB,8.0,32.0,0.0,0.0,0.0,0.0,No outlook available.
133,Raymond Calais,Buccaneers,RB,2.0,9.0,0.0,2.0,17.0,0.0,No outlook available.
134,Jakob Johnson,Patriots,RB,8.0,35.0,0.0,0.0,0.0,0.0,No outlook available.
135,Kerrith Whyte,Steelers,RB,8.0,34.0,0.0,0.0,0.0,0.0,No outlook available.
136,D'Ernest Johnson,Browns,RB,0.0,0.0,0.0,2.0,20.0,0.0,No outlook available.
137,Jamize Olawale,Cowboys,RB,7.0,30.0,0.0,0.0,0.0,0.0,No outlook available.
138,Wayne Gallman,Giants,RB,0.0,0.0,0.0,2.0,18.0,0.0,No outlook available.
139,Roosevelt Nix,Colts,RB,0.0,0.0,0.0,2.0,16.0,0.0,No outlook available.
140,Nick Bellore,Seahawks,RB,7.0,28.0,0.0,0.0,0.0,0.0,No outlook available.
141,Kalen Ballage,Dolphins,RB,6.0,26.0,0.0,0.0,0.0,0.0,No outlook available.
142,Michael Warren II,Eagles,RB,6.0,24.0,0.0,0.0,0.0,0.0,No outlook available.
143,Dexter Williams,Packers,RB,5.0,21.0,0.0,0.0,0.0,0.0,No outlook available.
144,Alex Armah,Panthers,RB,5.0,21.0,0.0,0.0,0.0,0.0,No outlook available.
145,Devine Ozigbo,Jaguars,RB,4.0,15.0,0.0,0.0,0.0,0.0,No outlook available.
146,Dwayne Washington,Saints,RB,3.0,14.0,0.0,0.0,0.0,0.0,No outlook available.
147,Darrel Williams,Chiefs,RB,0.0,0.0,0.0,0.0,0.0,0.0,No outlook available.
148,Tyler Ervin,Packers,RB,2.0,8.0,0.0,0.0,0.0,0.0,No outlook available.
149,Khalfani Muhammad,Broncos,RB,0.0,0.0,0.0,0.0,0.0,0.0,No outlook available.
150,Travis Homer,Seahawks,RB,,,,,,,No outlook available.
151,Trenton Cannon,Jets,RB,0.0,0.0,0.0,0.0,0.0,0.0,No outlook available.
152,Malcolm Perry,Dolphins,RB,0.0,0.0,0.0,0.0,0.0,0.0,No outlook available.
153,Devonta Freeman,FA,RB,,,,,,,"Freeman is a free agent following six seasons with the Falcons. The 2014 fourth-round pick was a fantasy star during the 2015 and '16 seasons but took a step back to RB2 territory in 2017 before struggling badly with injuries and effectiveness the past two seasons. Freeman racked up 184 carries and was eighth among backs with 59 receptions last season, but the 28-year-old averaged a career-low 3.6 YPC and 6.9 YPR."
154,Shaun Wilson,Titans,RB,,,,,,,No outlook available.
