id,name,team,position,completions,attempts,passing_yards,tds,interceptions,carries,rushing_yards,rushing_tds,outlook
66,Mike Glennon,Jaguars,QB,,,,,,,,,No outlook available.
67,Brian Hoyer,Patriots,QB,,,,,,,,,No outlook available.
68,Nate Sudfeld,Eagles,QB,,,,,,,,,No outlook available.
69,Cooper Rush,Giants,QB,,,,,,,,,No outlook available.
70,Davis Webb,Bills,QB,,,,,,,,,No outlook available.
71,Paxton Lynch,Steelers,QB,,,,,,,,,No outlook available.
72,Kyle Lauletta,Eagles,QB,,,,,,,,,No outlook available.
73,Nathan Peterman,Raiders,QB,,,,,,,,,No outlook available.
74,Jake Rudock,Dolphins,QB,,,,,,,,,No outlook available.
75,Mike White,Jets,QB,,,,,,,,,No outlook available.
76,Alex McGough,Texans,QB,,,,,,,,,No outlook available.
77,C.J. Beathard,49ers,QB,,,,,,,,,No outlook available.
78,Danny Etling,Falcons,QB,,,,,,,,,No outlook available.
79,Ryan Griffin,Buccaneers,QB,,,,,,,,,No outlook available.
80,Brett Rypien,Broncos,QB,,,,,,,,,No outlook available.
81,Easton Stick,Chargers,QB,,,,,,,,,No outlook available.
82,Clayton Thorson,Cowboys,QB,,,,,,,,,No outlook available.
83,Trace McSorley,Ravens,QB,,,,,,,,,No outlook available.
84,Logan Woodside,Titans,QB,,,,,,,,,No outlook available.
85,Tim Boyle,Packers,QB,,,,,,,,,No outlook available.
86,Garrett Gilbert,Browns,QB,,,,,,,,,No outlook available.
87,Alex Smith,FA,QB,,,,,,,,,No outlook available.
88,Will Grier,Panthers,QB,,,,,,,,,No outlook available.
89,Josh Rosen,Dolphins,QB,,,,,,,,,No outlook available.
90,Chad Kelly,Colts,QB,,,,,,,,,No outlook available.
91,David Fales,Jets,QB,,,,,,,,,No outlook available.
92,David Blough,Lions,QB,,,,,,,,,No outlook available.
93,Devlin Hodges,Steelers,QB,,,,,,,,,No outlook available.
94,Jacob Eason,Colts,QB,,,,,,,,,"The Colts selected Jacob Eason in the fourth round of April's draft. Eason has drawn comparisons to Carson Palmer and Brock Osweiler due to his huge frame (6-foot-6, 231 pounds) and very strong arm. That's enough to make Eason an attractive developmental prospect, but the former Huskie lacks mobility and will need to overcome major struggles while dealing with pressure. Eason was dramatically better at Washington last season than he was at Georgia in 2016, which adds optimism to his trajectory. He'll have plenty of time to learn behind Philip Rivers and Jacoby Brissett."
95,Nate Stanley,Vikings,QB,,,,,,,,,No outlook available.
96,Jake Luton,Jaguars,QB,,,,,,,,,No outlook available.
97,Tommy Stevens,Saints,QB,,,,,,,,,No outlook available.
98,Ben DiNucci,Cowboys,QB,,,,,,,,,No outlook available.
99,Jake Fromm,Bills,QB,,,,,,,,,"The Bills selected Fromm with a fifth-round pick in April's draft. Fromm has the look of a game manager in the pros. He's a good decision-maker and does an excellent job avoiding negative plays (18 interceptions, 51 sacks, nine fumbles in 43 games at Georgia), but he adds the bare minimum with his legs (40 career rushing yards, 5.01 40-yard dash) and completed only 61% of his passes last season. He's also on the small side (6-foot-2, 219 pounds), with shaky accuracy and an underwhelming arm. Fromm will spend his first few NFL seasons learning the ropes behind Josh Allen."
100,Anthony Gordon,Seahawks,QB,,,,,,,,,No outlook available.
101,Derek Anderson,FA,QB,,,,,,,,,No outlook available.
102,Drew Stanton,FA,QB,,,,,,,,,No outlook available.
103,DeShone Kizer,FA,QB,,,,,,,,,No outlook available.
104,Brandon Allen,FA,QB,,,,,,,,,No outlook available.
105,Luke Falk,Jets,QB,,,,,,,,,No outlook available.
106,Cody Kessler,FA,QB,,,,,,,,,No outlook available.
107,Tanner Lee,FA,QB,,,,,,,,,No outlook available.
108,Taylor Heinicke,FA,QB,,,,,,,,,No outlook available.
109,Blake Bortles,FA,QB,,,,,,,,,No outlook available.
110,Trevor Siemian,FA,QB,,,,,,,,,No outlook available.
111,Kyle Sloter,FA,QB,,,,,,,,,No outlook available.
112,Brock Osweiler,FA,QB,,,,,,,,,No outlook available.
113,Colin Kaepernick,FA,QB,,,,,,,,,No outlook available.
114,Andrew Luck,FA,QB,,,,,,,,,No outlook available.
115,Brandon Weeden,FA,QB,,,,,,,,,No outlook available.
116,Josh McCown,FA,QB,,,,,,,,,No outlook available.
117,Matt Moore,Chiefs,QB,,,,,,,,,No outlook available.
118,Eli Manning,Giants,QB,,,,,,,,,No outlook available.
119,Josh Johnson,Lions,QB,,,,,,,,,No outlook available.
120,Matt Cassel,FA,QB,,,,,,,,,No outlook available.
121,Mark Sanchez,FA,QB,,,,,,,,,No outlook available.
122,Sam Bradford,FA,QB,,,,,,,,,No outlook available.
123,Nick Fitzgerald,FA,QB,,,,,,,,,No outlook available.
124,Tyree Jackson,Bills,QB,,,,,,,,,No outlook available.
